	condition
Pam3_10_S11_R1	Pam3T16
Pam3_16_S15_R1	Pam3T8
Pam3_20_S19_R1	Pam3T16
Pam3_26_S23_R1	Pam3T8
Pam3_30_S27_R1	Pam3T16
Pam3_6_S7_R1	Pam3T8
ctr_13_S12_R1	ControlT8
ctr_17_S16_R1	ControlT16
ctr_23_S20_R1	ControlT8
ctr_27_S24_R1	ControlT16
ctr_3_S4_R1	ControlT8
ctr_7_S8_R1	ControlT16
gfp_minus_14_S13_R1	gfpmT8
gfp_minus_18_S17_R1	gfpmT16
gfp_minus_24_S21_R1	gfpmT8
gfp_minus_28_S25_R1	gfpmT16
gfp_minus_4_S5_R1	gfpmT8
gfp_minus_8_S9_R1	gfpmT16
gfp_plus_15_S14_R1	gfppT8
gfp_plus_19_S18_R1	gfppT16
gfp_plus_25_S22_R1	gfppT8
gfp_plus_29_S26_R1	gfppT16
gfp_plus_5_S6_R1	gfppT8
gfp_plus_9_S10_R1	gfppT16
