	Gene-type	Gene-name	Ensembl	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
3	lincRNA	MIR137HG	ENSG00000225206	52.63330372	3.960700597	0.463279938	8.549259907	1.24E-17	1.28E-15	8h
172	lincRNA	LINC01515	ENSG00000228065	39.46191346	-2.723455159	0.47875849	-5.688578308	1.28E-08	0.000000278	
27	lincRNA	AC083843.1	ENSG00000259820	81.10345098	2.265429286	0.353439791	6.409661112	1.46E-10	4.49E-09	
17	lincRNA	AC133644.2	ENSG00000280721	60.78612509	3.019978562	0.381552671	7.914971612	2.47E-15	2.27E-13	16h
177	lincRNA	RP11-761E20.1	ENSG00000235244	28.34139058	-2.127853729	0.467059905	-4.555847563	0.00000522	0.0000738	
9	lincRNA	RP11-180P8.3	ENSG00000266411	19.18587025	3.627500927	0.569187442	6.373121862	1.85E-10	7.37E-09	
101	protein_coding	HSPD1	ENSG00000144381	6096.255665	4.162276297	0.303424233	13.71767921	7.96E-43	1.27E-39	8h
47	protein_coding	SERPINH1	ENSG00000149257	3240.130038	4.779545477	0.296223134	16.13495009	1.45E-58	8.66E-55	
161	protein_coding	DNAJA1	ENSG00000086061	2578.233778	3.633002997	0.292478836	12.42142183	2E-35	1.37E-32	
90	protein_coding	CHORDC1	ENSG00000110172	1652.672338	4.230462942	0.291364919	14.51946566	9.12E-48	2.42E-44	
118	protein_coding	DNAJB6	ENSG00000105993	1244.225445	3.992841582	0.286105775	13.95582309	2.9E-44	4.95E-41	
425	protein_coding	HSPA4	ENSG00000170606	1223.378613	2.625705273	0.20436061	12.84839225	8.78E-38	8.4E-35	
63	protein_coding	PPP1R15A	ENSG00000087074	1296.12166	4.541491638	0.408101029	11.12835135	9.13E-29	5.37E-26	16h
175	protein_coding	CLK1	ENSG00000013441	962.6944446	3.567384002	0.282300755	12.6368206	1.32E-36	1.42E-33	
211	protein_coding	STIP1	ENSG00000168439	848.0619218	3.333059334	0.261142804	12.76335892	2.63E-37	2.95E-34	
325	protein_coding	FXR1	ENSG00000114416	777.8142389	2.905034929	0.227350091	12.77780413	2.18E-37	2.57E-34	
86	protein_coding	FKBP4	ENSG00000004478	771.5929966	4.29465791	0.329669204	13.02717348	8.57E-39	1.18E-35	
112	protein_coding	KBTBD8	ENSG00000163376	725.2246869	4.00267468	0.327012792	12.24011654	1.9E-34	1.68E-31	
	protein_coding	DDX58	ENSG00000107201							
	protein_coding	MX1	ENSG00000157601							
