"KEGGID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"04010"	2.65502071948731e-10	9.41603585657371	2.60282842051457	17	268	"MAPK signaling pathway"
"2"	"04141"	3.2424682705698e-06	7.76527110501029	1.6024876469586	10	165	"Protein processing in endoplasmic reticulum"
"3"	"05323"	2.40353123814027e-05	9.54666666666667	0.883796217413529	7	91	"Rheumatoid arthritis"
"4"	"04612"	8.30062299433268e-05	9.65042016806723	0.738115522235474	6	76	"Antigen processing and presentation"
"5"	"05145"	0.000257242718994707	6.36944	1.28199011756688	7	132	"Toxoplasmosis"
"6"	"05142"	0.000467378761700738	6.85954381752701	1.01005281990118	6	104	"Chagas disease (American trypanosomiasis)"
"7"	"05212"	0.000540805005921576	8.50147928994083	0.679843244164253	5	70	"Pancreatic cancer"
"8"	"04060"	0.000910337183759304	4.0693359375	2.57369228147896	9	265	"Cytokine-cytokine receptor interaction"
"9"	"05222"	0.00131223820055178	6.88942307692308	0.825523939342307	5	85	"Small cell lung cancer"
"10"	"04380"	0.00139660011067288	5.48698167791707	1.24314193218606	6	128	"Osteoclast differentiation"
"11"	"04210"	0.00145657657751176	6.71904315196998	0.844948032032714	5	87	"Apoptosis"
"12"	"04621"	0.00229760628395387	8.04751921733054	0.563298688021809	4	58	"NOD-like receptor signaling pathway"
"13"	"04510"	0.00299213870734136	4.0759585492228	1.94240926904072	7	200	"Focal adhesion"
"14"	"05146"	0.00347369879430955	5.43697638994669	1.02947691259158	5	106	"Amoebiasis"
"15"	"05200"	0.00380813971884805	3.25019716088328	3.16612710853638	9	326	"Pathways in cancer"
"16"	"04115"	0.00410475611886955	6.77830188679245	0.660419151473846	4	68	"p53 signaling pathway"
"17"	"05219"	0.00762626692132867	8.22364672364672	0.407905946498552	3	42	"Bladder cancer"
"18"	"04360"	0.00796886276670696	4.4106699751861	1.25285397853127	5	129	"Axon guidance"
"19"	"05215"	0.0105896485979191	5.0850166481687	0.864372124723122	4	89	"Prostate cancer"
"20"	"04623"	0.0167383429642288	6.03668763102725	0.543874595331402	3	56	"Cytosolic DNA-sensing pathway"
"21"	"04620"	0.0167998163245143	4.4004620716211	0.990628727210768	4	102	"Toll-like receptor signaling pathway"
"22"	"04660"	0.02030101779021	4.1422351233672	1.04890100528199	4	108	"T cell receptor signaling pathway"
"23"	"04920"	0.0278962008753149	4.91196581196581	0.660419151473846	3	68	"Adipocytokine signaling pathway"
"24"	"05120"	0.0278962008753149	4.91196581196581	0.660419151473846	3	68	"Epithelial cell signaling in Helicobacter pylori infection"
"25"	"05211"	0.030060634464572	4.7636815920398	0.679843244164253	3	70	"Renal cell carcinoma"
"26"	"05140"	0.0323117470436129	4.62399355877617	0.69926733685466	3	72	"Leishmaniasis"
"27"	"05220"	0.033469697250967	4.55714285714286	0.708979383199864	3	73	"Chronic myeloid leukemia"
"28"	"03040"	0.0342147321478182	3.49071943549624	1.23342988584086	4	127	"Spliceosome"
"29"	"04722"	0.0342147321478182	3.49071943549624	1.23342988584086	4	127	"Neurotrophin signaling pathway"
"30"	"04062"	0.0356031675400777	2.94105351170569	1.83557675924348	5	189	"Chemokine signaling pathway"
"31"	"04662"	0.0358501169143738	4.42901234567901	0.728403475890271	3	75	"B cell receptor signaling pathway"
"32"	"05160"	0.0404598449306749	3.29869375907112	1.30141421025728	4	134	"Hepatitis C"
"33"	"05143"	0.0449414820429437	6.36804407713499	0.339921622082126	2	35	"African trypanosomiasis"
"34"	"05340"	0.0449414820429437	6.36804407713499	0.339921622082126	2	35	"Primary immunodeficiency"
"35"	"05020"	0.0449414820429437	6.36804407713499	0.339921622082126	2	35	"Prion diseases"
"36"	"04512"	0.0490238340771872	3.88211382113821	0.825523939342307	3	85	"ECM-receptor interaction"
"37"	"04640"	0.0533804510105959	3.74313725490196	0.854660078377918	3	88	"Hematopoietic cell lineage"
"38"	"05144"	0.0873560307989516	4.27680890538033	0.495314363605384	2	51	"Malaria"
"39"	"04150"	0.0903017525883383	4.19054545454545	0.505026409950588	2	52	"mTOR signaling pathway"
