"KEGGID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"05200"	1.16225017180844e-15	19.0024079807362	2.16629749531436	20	326	"Pathways in cancer"
"2"	"04110"	1.62205620972461e-14	29.12	0.823990458340433	14	124	"Cell cycle"
"3"	"05220"	2.23980099477562e-11	31.5654077723043	0.485091156926223	10	73	"Chronic myeloid leukemia"
"4"	"04012"	3.34557042883544e-09	22.1230769230769	0.578122337706594	9	87	"ErbB signaling pathway"
"5"	"04520"	1.75049128133632e-08	22.8883374689826	0.485091156926223	8	73	"Adherens junction"
"6"	"05210"	1.22520547776671e-07	22.96875	0.411995229170216	7	62	"Colorectal cancer"
"7"	"04510"	4.52560011388228e-07	10.2359346642468	1.32901686829102	10	200	"Focal adhesion"
"8"	"04722"	1.35038024656561e-06	12.3849281648143	0.843925711364798	8	127	"Neurotrophin signaling pathway"
"9"	"05215"	1.50743551191209e-06	15.3338414634146	0.591412506389504	7	89	"Prostate cancer"
"10"	"04310"	4.74638265097351e-06	10.3371194911404	0.996762651218265	8	150	"Wnt signaling pathway"
"11"	"05211"	5.54202567687061e-06	16.3806818181818	0.465155903901857	6	70	"Renal cell carcinoma"
"12"	"05212"	5.54202567687061e-06	16.3806818181818	0.465155903901857	6	70	"Pancreatic cancer"
"13"	"04010"	6.53941298227504e-06	7.44720662924352	1.78088260350997	10	268	"MAPK signaling pathway"
"14"	"04350"	1.60531044383851e-05	13.4079254079254	0.558187084682229	6	84	"TGF-beta signaling pathway"
"15"	"05213"	2.05715063553343e-05	18.0944931163955	0.345544385755665	5	52	"Endometrial cancer"
"16"	"04120"	2.42593028968071e-05	9.74462890625	0.897086386096439	7	135	"Ubiquitin mediated proteolysis"
"17"	"04662"	0.000122210294789559	12.1008403361345	0.498381325609133	5	75	"B cell receptor signaling pathway"
"18"	"05160"	0.000222362417005706	8.09943181818182	0.890441301754984	6	134	"Hepatitis C"
"19"	"04330"	0.000241879405651481	15.38073089701	0.31231896404839	4	47	"Notch signaling pathway"
