Gene_ID	Gene_Name	Rank	NetRank_Score
ENSG00000109846	CRYAB	1	0.050842167624007305
ENSG00000204389	HSPA1A	2	0.026335439197235758
ENSG00000204388	HSPA1B	3	0.024959829532074998
ENSG00000162616	DNAJB4	4	0.01122569886867244
ENSG00000151929	BAG3	5	0.01094554953171834
ENSG00000132002	DNAJB1	6	0.010010578957990386
ENSG00000204390	HSPA1L	7	0.009005925479961081
ENSG00000188290	HES4	8	0.009003391939863563
ENSG00000148677	ANKRD1	9	0.008902496924740686
ENSG00000166592	RRAD	10	0.008367668532620514
ENSG00000120885	CLU	11	0.007521100622804499
ENSG00000173110	HSPA6	12	0.006747193164202408
ENSG00000126353	CCR7	13	0.005885195647922644
ENSG00000140403	DNAJA4	14	0.00583035317036857
ENSG00000125266	EFNB2	15	0.005297599998626578
ENSG00000100625	SIX4	16	0.004768630213582975
ENSG00000178381	ZFAND2A	17	0.0043226168514871365
ENSG00000198576	ARC	18	0.004297632217180094
ENSG00000119630	PGF	19	0.003912315666615548
ENSG00000183655	KLHL25	20	0.003493664033851612
ENSG00000013588	GPRC5A	21	0.003359237164776123
ENSG00000184205	TSPYL2	22	0.003027958983775662
ENSG00000087085	ACHE	23	0.002697945525446688
ENSG00000119508	NR4A3	24	0.002651232860267741
ENSG00000184371	CSF1	25	0.0026426257897526405
ENSG00000168685	IL7R	26	0.0025972990763047346
ENSG00000172061	LRRC15	27	0.0025792779288971294
ENSG00000100852	ARHGAP5	28	0.0025099988833703402
ENSG00000148926	ADM	29	0.0024789785882756623
ENSG00000167191	GPRC5B	30	0.002260639318764076
ENSG00000115009	CCL20	31	0.002131015905645751
ENSG00000135919	SERPINE2	32	0.002048183507803505
ENSG00000166670	MMP10	33	0.0019980177132845685
ENSG00000162772	ATF3	34	0.0019442723212265043
ENSG00000075223	SEMA3C	35	0.0018713624114691143
ENSG00000160570	DEDD2	36	0.0018132946930264303
ENSG00000142192	APP	37	0.001795011572546943
ENSG00000118523	CTGF	38	0.0017805207527531164
ENSG00000172602	RND1	39	0.0017411355790740296
ENSG00000112183	RBM24	40	0.0017337977082177494
ENSG00000164949	GEM	41	0.001690412495080626
ENSG00000130702	LAMA5	42	0.0016802187625469115
ENSG00000141510	TP53	43	0.0016270844863558605
ENSG00000036257	CUL3	44	0.00162163145581088
ENSG00000120694	HSPH1	45	0.0016213227744729362
ENSG00000184545	DUSP8	46	0.0016189638022846577
ENSG00000149257	SERPINH1	47	0.0016161796795378768
ENSG00000106366	SERPINE1	48	0.0015454925553367034
ENSG00000142178	SIK1	49	0.0015204998587448866
ENSG00000122012	SV2C	50	0.001487219323151383
ENSG00000158050	DUSP2	51	0.001460283418176382
ENSG00000163132	MSX1	52	0.0014285121574444083
ENSG00000123358	NR4A1	53	0.00136962113244673
ENSG00000090530	P3H2	54	0.001356849069274872
ENSG00000087074	PPP1R15A	55	0.0013438493053334435
ENSG00000131459	GFPT2	56	0.0013235249806473415
ENSG00000095739	BAMBI	57	0.001314834466354258
ENSG00000115380	EFEMP1	58	0.0013126492058854692
ENSG00000125538	IL1B	59	0.0013099825954081285
ENSG00000184557	SOCS3	60	0.001306157920002481
ENSG00000131773	KHDRBS3	61	0.0012858292587657628
ENSG00000137265	IRF4	62	0.001219346691900357
ENSG00000150991	UBC	63	0.0012091550425580775
ENSG00000090339	ICAM1	64	0.0011945567370746277
ENSG00000135111	TBX3	65	0.0011850093422755054
ENSG00000108821	COL1A1	66	0.0011669417302785504
ENSG00000138166	DUSP5	67	0.0011416209577735227
ENSG00000096384	HSP90AB1	68	0.0011367141242474886
ENSG00000116285	ERRFI1	69	0.0011134921978990942
ENSG00000143322	ABL2	70	0.0011100514407508153
ENSG00000006327	TNFRSF12A	71	0.0011001691189494588
ENSG00000165617	DACT1	72	0.0010911809229387595
ENSG00000145777	TSLP	73	0.0010888962694770026
ENSG00000004478	FKBP4	74	0.001087879553415463
ENSG00000164683	HEY1	75	0.0010772372751613145
ENSG00000162924	REL	76	0.0010763969309537686
ENSG00000173039	RELA	77	0.0010644546980265299
ENSG00000124216	SNAI1	78	0.0010619535399924713
ENSG00000106211	HSPB1	79	0.0010539495670601386
ENSG00000166963	MAP1A	80	0.0010388576694618963
ENSG00000145147	SLIT2	81	0.0010328461616722496
ENSG00000099860	GADD45B	82	0.001026166325959896
ENSG00000082898	XPO1	83	0.0010161294460865934
ENSG00000269335	IKBKG	84	0.000997864078098214
ENSG00000056558	TRAF1	85	0.0009949982151785902
ENSG00000128591	FLNC	86	0.0009949920458685842
ENSG00000130222	GADD45G	87	0.0009937284576523174
ENSG00000160282	FTCD	88	0.0009915736924795066
ENSG00000121481	RNF2	89	0.0009880227390976844
ENSG00000099250	NRP1	90	0.0009872338195777474
ENSG00000115541	HSPE1	91	0.000970787382607648
ENSG00000086061	DNAJA1	92	0.0009670719279792435
ENSG00000178104	PDE4DIP	93	0.0009594060182240048
ENSG00000198821	CD247	94	0.0009363587116652028
ENSG00000185022	MAFF	95	0.0009181886204401919
ENSG00000134070	IRAK2	96	0.0009174576575858691
ENSG00000112715	VEGFA	97	0.0009166245400584423
ENSG00000177606	JUN	98	0.0009114951641979069
ENSG00000170606	HSPA4	99	0.0009012216277689933
ENSG00000184451	CCR10	100	0.0008990807214049682
ENSG00000198400	NTRK1	101	0.0008931694879301427
ENSG00000136999	NOV	102	0.000890338712466782
ENSG00000122194	PLG	103	0.0008324397745028359
ENSG00000100385	IL2RB	104	0.0008301569425185389
ENSG00000114529	C3orf52	105	0.0008221893869781206
ENSG00000144381	HSPD1	106	0.0008213635733847947
ENSG00000145632	PLK2	107	0.0008197536453125665
ENSG00000154229	PRKCA	108	0.0008150875528230363
ENSG00000124225	PMEPA1	109	0.000811498238538786
ENSG00000168283	BMI1	110	0.0008066127285352752
ENSG00000105993	DNAJB6	111	0.0008030717871178723
ENSG00000116478	HDAC1	112	0.0007924537522423594
ENSG00000164070	HSPA4L	113	0.0007891036123211447
ENSG00000072401	UBE2D1	114	0.0007842657022412381
ENSG00000044574	HSPA5	115	0.0007820387225786655
ENSG00000109971	HSPA8	116	0.0007795802927004171
ENSG00000105855	ITGB8	117	0.0007772817601566764
ENSG00000144366	GULP1	118	0.0007759909231604048
ENSG00000080824	HSP90AA1	119	0.0007597343436671556
ENSG00000155657	TTN	120	0.0007582935850271537
ENSG00000185122	HSF1	121	0.0007536871938542576
ENSG00000138835	RGS3	122	0.0007528854355749973
ENSG00000166228	PCBD1	123	0.000752845714579269
ENSG00000146648	EGFR	124	0.0007518206340190213
ENSG00000090273	NUDC	125	0.0007506053472817959
ENSG00000155897	ADCY8	126	0.0007426491343894319
ENSG00000164128	NPY1R	127	0.0007255647486556285
ENSG00000163347	CLDN1	128	0.0007248346749443443
ENSG00000158623	COPG2	129	0.0007246005538909578
ENSG00000188021	UBQLN2	130	0.000724362385979862
ENSG00000180447	GAS1	131	0.0007214877134413514
ENSG00000185338	SOCS1	132	0.0007187370884983805
ENSG00000187608	ISG15	133	0.0007154776961693862
ENSG00000205755	CRLF2	134	0.0007067654964272623
ENSG00000213626	LBH	135	0.0006958163865535612
ENSG00000131019	ULBP3	136	0.0006849036798393928
ENSG00000277632	CCL3	137	0.0006847540031436607
ENSG00000197122	SRC	138	0.0006846202332591908
ENSG00000132510	KDM6B	139	0.0006820775759677787
ENSG00000172071	EIF2AK3	140	0.0006794090919178312
ENSG00000177283	FZD8	141	0.0006727424536457035
ENSG00000161011	SQSTM1	142	0.0006683695083648303
ENSG00000175104	TRAF6	143	0.0006630628569160507
ENSG00000167207	NOD2	144	0.000660697877350891
ENSG00000156103	MMP16	145	0.0006586769587338066
ENSG00000113594	LIFR	146	0.0006567582811657951
ENSG00000177885	GRB2	147	0.000656432915034988
ENSG00000198909	MAP3K3	148	0.0006543031932394976
ENSG00000153234	NR4A2	149	0.0006515504288065304
ENSG00000204435	CSNK2B	150	0.000647593094382469
ENSG00000115963	RND3	151	0.0006465826248589999
ENSG00000072062	PRKACA	152	0.0006408730657431549
ENSG00000104312	RIPK2	153	0.000640161835694928
ENSG00000120837	NFYB	154	0.0006356821078836444
ENSG00000116761	CTH	155	0.0006342205531806904
ENSG00000162601	MYSM1	156	0.0006323554692763618
ENSG00000166170	BAG5	157	0.0006283536998744287
ENSG00000101266	CSNK2A1	158	0.0006232405776123865
ENSG00000164181	ELOVL7	159	0.0006163412840519016
ENSG00000164305	CASP3	160	0.0006137203048135982
ENSG00000095397	DFNB31	161	0.0006066849462058561
ENSG00000116141	MARK1	162	0.0006048399077805141
ENSG00000141646	SMAD4	163	0.0005957323766750256
ENSG00000184226	PCDH9	164	0.0005933006220831923
ENSG00000115604	IL18R1	165	0.0005843140166248447
ENSG00000100567	PSMA3	166	0.0005836704051506153
ENSG00000100591	AHSA1	167	0.0005788034298167025
ENSG00000100030	MAPK1	168	0.0005737594662701781
ENSG00000197632	SERPINB2	169	0.0005718343240367953
ENSG00000163874	ZC3H12A	170	0.0005705937489595607
ENSG00000157168	NRG1	171	0.0005684499221700606
ENSG00000118402	ELOVL4	172	0.0005672645359135459
ENSG00000134363	FST	173	0.000566818579018921
