Gene-type	Gene-name	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
protein_coding	PRRG3	ENSG00000130032	76296.2760397979	4.90188853008839	0.616201913044304	7.95500375172635	1.79126080452104e-15	1.01176899390993e-11
protein_coding	ZNF302	ENSG00000089335	8111.16477003883	4.92273864113023	0.619958979605671	7.94042638798678	2.01487402949305e-15	1.01176899390993e-11
protein_coding	SP100	ENSG00000067066	38132.4626887916	4.65933765837513	0.619801628504924	7.51746598280859	5.5848083050562e-14	1.86960766025598e-10
protein_coding	ABCA8	ENSG00000141338	2055.03692693417	4.63229827870352	0.619522726029926	7.47720476436526	7.59200751043946e-14	1.90616328568359e-10
protein_coding	ABCG1	ENSG00000160179	3335.36784998155	4.55993957711437	0.61940848539511	7.36176478790997	1.8149456920197e-13	3.38134440625679e-10
protein_coding	GPR85	ENSG00000164604	3768.17992382411	4.52648483564411	0.61606135701708	7.3474578206966	2.02012012720709e-13	3.38134440625679e-10
protein_coding	SH3KBP1	ENSG00000147010	14770.7342428634	4.39523085662424	0.620063114687232	7.08836044672848	1.35710133029161e-12	1.75915926773162e-09
protein_coding	DNMT3A	ENSG00000119772	3871.68526453732	4.39247237890538	0.620062163201569	7.08392261225183	1.40130181637489e-12	1.75915926773162e-09
protein_coding	RAB12	ENSG00000206418	950.246103415473	4.29411772222822	0.619409807244982	6.93259562893853	4.13188046594911e-12	4.61071950216966e-09
antisense	AC009501.4	ENSG00000231609	1958.35034842186	4.11653025802935	0.618009266331952	6.66095232270877	2.72058896090136e-11	2.62713663114554e-08
protein_coding	GREM1	ENSG00000166923	6179.98382960064	4.12405308268782	0.61990587290336	6.65270852068656	2.87747714254714e-11	2.62713663114554e-08
processed_pseudogene	RP11-113I24.1	ENSG00000230987	5545.98702041768	3.7714108407032	0.589885645120932	6.39346095619944	1.62172421165019e-10	1.35724802146691e-07
protein_coding	STAT6	ENSG00000166888	4831.65197138124	3.87937320245838	0.614962731249651	6.30830618723055	2.82105705242472e-10	2.17937507519242e-07
protein_coding	GDF5OS	ENSG00000204183	675.477305009631	3.84355203865431	0.618614184527363	6.21316506279416	5.19278502591924e-10	3.72508142966478e-07
protein_coding	SLC25A37	ENSG00000147454	1401.1782174001	3.78562937487084	0.6189564410467	6.11614828414914	9.58641285738234e-10	6.41842295511272e-07
ENSG00000222604	SNORA7	ENSG00000222604	426.513037420491	3.67211225756751	0.610960343432365	6.01039379567199	1.8507321852463e-09	1.12519664027395e-06
